filename	label	start_span	end_span	text	code	sem_rel	is_abbrev	is_composite	need_context
S0004-06142005000700014-1	PROCEDIMIENTO	1023	1044	Auscultación pulmonar	449264008	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	1143	1166	exploración neurológica	84728005	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	1307	1328	exploración urológica	302778005	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	1452	1461	palpación	113011001	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	1509	1525	transiluminación	103741002	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	1592	1601	Hemograma	26604007	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	1702	1713	Coagulación	3116009	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	1738	1748	Bioquímica	412890008	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	1924	1940	Orina: sedimento	27171005	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	1981	1993	Hemocultivos	30088009	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	2020	2056	Serologías específicas para Brucella	104279004	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	2131	2148	pruebas de imagen	363679005	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	2163	2171	Rx tórax	399208008	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	2173	2192	Ecografía abdominal	45036003	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	2194	2205	TAC craneal	169066007	EXACT	True	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	2207	2235	Ecocardiograma transtorácico	433236007	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	2287	2307	Ecografía testicular	303918003	NARROW	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	2614	2626	antitérmicos	709541000	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	2628	2645	antiinflamatorios	330901000	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	2647	2653	reposo	183051005	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	2656	2676	elevación testicular	103720008	NARROW	False	False	True
S0004-06142005000700014-1	PROCEDIMIENTO	2687	2710	tratamiento antibiótico	281789004	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	3001	3024	tratamiento antibiótico	281789004	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	668	686	exploración física	5880005	EXACT	False	False	False
S0004-06142005000700014-1	PROCEDIMIENTO	959	980	Auscultación cardíaca	449263002	EXACT	False	False	False
S0004-06142005001000011-3	PROCEDIMIENTO	112	122	trasplante	77465005	EXACT	False	False	False
S0004-06142005001000011-3	PROCEDIMIENTO	1135	1147	RMN cerebral	29567006	EXACT	False	False	False
S0004-06142005001000011-3	PROCEDIMIENTO	132	146	apendicectomía	80146002	EXACT	False	False	False
S0004-06142005001000011-3	PROCEDIMIENTO	1385	1389	PEES	NO_CODE	NO_CODE	True	False	True
S0004-06142005001000011-3	PROCEDIMIENTO	1435	1476	LCR: determinación sexológica para HTLV-I	104317009	NARROW	True	False	False
S0004-06142005001000011-3	PROCEDIMIENTO	1501	1582	Determinación sanguínea de anticuerpos (ELISA) y de existencia del virus (HTLV-I)	104317009	EXACT	False	False	False
S0004-06142005001000011-3	PROCEDIMIENTO	2018	2042	sonda vesical permanente	23973005	EXACT	False	False	False
S0004-06142005001000011-3	PROCEDIMIENTO	2079	2128	reeducación vesical mediante sondaje intermitente	704117005	NARROW	False	False	False
S0004-06142005001000011-3	PROCEDIMIENTO	2133	2152	trasplante hepático	18027006	EXACT	False	False	False
S0004-06142005001000011-3	PROCEDIMIENTO	2225	2241	trasplantectomía	240326000	EXACT	False	False	True
S0004-06142005001000011-3	PROCEDIMIENTO	403	422	trasplante hepático	18027006	EXACT	False	False	False
S0004-06142005001000011-3	PROCEDIMIENTO	46	65	trasplante hepático	18027006	EXACT	False	False	False
S0004-06142005001000011-3	PROCEDIMIENTO	537	547	trasplante	77465005	EXACT	False	False	False
S0004-06142005001000011-3	PROCEDIMIENTO	755	773	exploración física	5880005	EXACT	False	False	False
S0004-06142006000200013-1	PROCEDIMIENTO	1130	1156	tinción inmunohistoquímica	117617002	EXACT	False	False	False
S0004-06142006000200013-1	PROCEDIMIENTO	177	206	estudios citológicos de orina	609316007	EXACT	False	False	False
